Station1,Station2,Frequency,Station1_lat,Station1_lon,Station2_lat,Station2_lon
忠孝東路四段49巷口,榮星花園,107,25.04172,121.54541,25.06424,121.54037
和平新生路口西南側,捷運雙連站(2號出口),174,25.02598,121.53454,25.05826,121.52063
和平新生路口西南側,和平泰順街口,479,25.02598,121.53454,25.02621,121.53171
和平新生路口西南側,臺灣科技大學後門,179,25.02598,121.53454,25.01182,121.54165
和平新生路口西南側,新生和平路口東北側,636,25.02598,121.53454,25.02657,121.53515
全安公園,捷運六張犁站,130,25.02535,121.55101,25.02397,121.55266
全安公園,捷運信義安和站(4號出口),110,25.02535,121.55101,25.03305,121.55378
信義路三段134巷口,捷運大安站(2號出口),180,25.03333,121.53968,25.03358,121.54141
信義路三段134巷口,建國南路一段279巷口,226,25.03333,121.53968,25.03635,121.53833
民生建國路口,臺北遠企購物中心,240,25.05778,121.53692,25.02709,121.54902
仁愛敦南圓環(西北側),外交部外交及國際事務學院,191,25.03827,121.54802,25.0371,121.54839
捷運台北101/世貿站(2號出口),捷運大安站(3號出口),110,25.0327,121.56157,25.03328,121.5425
捷運公館站(3號出口),捷運大安站(3號出口),116,25.01551,121.53374,25.03328,121.5425
捷運大安站(3號出口),敦親公園,138,25.03328,121.5425,25.02347,121.54108
